Channel,LocalStartTime,Server,Decoder,Sport,Competition,Home,Away,Information,Region
639 - SNY ,16-01-2025 00:00,Us12,Not Set ,Basketball,Women's College Basketball,St. John's,Connecticut,,United States
314 TSN 4 ,16-01-2025 00:00,Us22,Not Set ,Tennis,Australian Open,,,Day 5,Australia
219 - FS1,16-01-2025 00:00,Us8,Not Set ,Basketball,NCAA Division I,Butler,Seton Hall,,United States
208 - ESPN U,16-01-2025 00:00,Us5,Not Set ,Basketball,NCAA Division I,Virginia Tech,NC State,,United States
642 - CSN MidAtlantic NBC Wash,16-01-2025 00:00,Us14,Not Set ,Basketball,NCAA Division I,George Washington,Duquesne,,United States
209 - ESPN 2,16-01-2025 00:00,Us2,Not Set ,Basketball,NCAA Division I,Iowa State,Kansas,,United States
beIN Sport 9 - ME [NA],16-01-2025 00:00,Israel8,Not Set ,Tennis,Australian Open,,,Day 5 John Cain Arena ,Australia
M Deportes 6 [193],16-01-2025 00:00,Euro32,Spain-2 ,Tennis,Australian Open,,,Day 5 Margaret Court Arena,Australia
631 - YES,16-01-2025 00:00,Us11,Not Set ,Basketball,NCAA Division I,St. Bonaventure,Richmond,,United States
WOWOW Live - 622,16-01-2025 00:00,Jpn8,Not Set ,Tennis,Australian Open,,,Day 5 ,Australia
612 ACC,16-01-2025 00:00,Us3,Not Set ,Basketball,NCAA Division I,North Carolina,California,,United States
beIN Sport 7 - ME [009],16-01-2025 00:00,Israel7,Not Set ,Tennis,Australian Open,,,Day 5 Rod Laver Arena,Australia
221 - CBSSN,16-01-2025 00:00,Us6,Not Set ,Basketball,NCAA Division I,Dayton,George Mason,,United States
Eurosport 2 Spain [73],16-01-2025 00:00,Euro33,Spain-3 ,Tennis,Australian Open,,,Day 5,Australia
206 -ESPN 1,16-01-2025 00:00,Us1,Not Set ,Basketball,NBA,Philadelphia 76ers,New York Knicks,,United States
315 TSN 5,16-01-2025 00:00,Us21,Not Set ,Ice Hockey,Professional Women's Hockey League,New York Sirens,Minnesota Frost,,Canada
215 - NHL Net ,16-01-2025 00:00,Us15,Not Set ,Ice Hockey,AHL,Lehigh Valley Phantoms,Belleville Senators,,United States
Stadium Feed,16-01-2025 00:30,Euro107,XVI_CH10 ,Soccer,Carioca 1 Div,Volta Redonda,Fluminense,Taça Guanabara,Brazil
Spring Media,16-01-2025 00:30,Euro281,IGM_SPG_CH08 ,Soccer,Club Friendlies,Cruzeiro,São Paulo,Club Friendlies 3,World
British Eurosport 2 [411],16-01-2025 00:30,Euro50,SKYIE-2 ,Tennis,Australian Open,,,Day 5,Australia
305 SN1 ,16-01-2025 00:30,Us25,Not Set ,Basketball,NBA,Toronto Raptors,Boston Celtics,,United States
Stadium Feed,16-01-2025 00:30,Euro105,ZSM_CH02 ,Soccer,São Paulo Youth Cup,Zumbi U20,RB Bragantino U20,3rd Round,Brazil
Eurosport 2 ITALY [211],16-01-2025 00:30,Euro7,Sky-IT4 ,Tennis,Australian Open,,,Day 5,Australia
British Eurosport 1 [410],16-01-2025 00:30,Euro57,ASTRA-5 ,Tennis,Australian Open,,,Day 5,Australia
Eurosport 2 France [73] SD,16-01-2025 00:30,Euro18,FRA-2 ,Tennis,Australian Open,,,Day 5,Australia
319 BIGTEN -S,16-01-2025 00:30,Us24,Not Set ,Basketball,NCAA Division I,Michigan State,Penn State,,United States
Stadium Feed,16-01-2025 00:35,Euro106,ZSM_CH03 ,Soccer,Paulista A1,Palmeiras,Portuguesa,Regular Season,Brazil
671 - FSM,16-01-2025 01:00,Us19,Not Set ,Basketball,NBA,San Antonio Spurs,Memphis Grizzlies,,United States
758 - NBA Pass,16-01-2025 01:00,Us17,Not Set ,Basketball,NBA,New Orleans Pelicans,Dallas Mavericks,,United States
